timestamp,depth,temp,cond,salinity,density,soundvel
2026-04-18 19:57:43.172,2.543,28.128,4.207,32.474,1020.574,1534.899
2026-04-18 19:57:44.171,2.671,28.14,4.213,32.47,1020.586,1534.946
2026-04-18 19:57:45.170,2.858,28.128,4.205,32.472,1020.566,1535.086
2026-04-18 19:57:46.172,2.972,28.095,4.207,32.493,1020.631,1535.079
2026-04-18 19:57:47.171,3.1,28.097,4.209,32.481,1020.631,1534.946
2026-04-18 19:57:48.171,3.165,28.103,4.222,32.498,1020.657,1535.084
2026-04-18 19:57:49.171,3.25,28.072,4.213,32.482,1020.636,1534.895
2026-04-18 19:57:50.171,3.332,28.076,4.218,32.498,1020.62,1535.015
2026-04-18 19:57:51.171,3.403,28.071,4.22,32.474,1020.652,1534.964
2026-04-18 19:57:52.175,3.383,28.06,4.226,32.472,1020.606,1534.985
2026-04-18 19:57:53.171,3.406,28.076,4.235,32.456,1020.639,1535.033
2026-04-18 19:57:54.170,3.418,28.109,4.221,32.484,1020.641,1535.145
2026-04-18 19:57:55.171,3.412,28.078,4.231,32.472,1020.635,1535.098
2026-04-18 19:57:56.172,3.386,28.086,4.228,32.464,1020.628,1534.993
2026-04-18 19:57:57.172,3.337,28.093,4.234,32.464,1020.589,1534.988
2026-04-18 19:57:58.173,3.283,28.166,4.23,32.451,1020.579,1535.254
2026-04-18 19:57:59.172,3.283,28.122,4.233,32.428,1020.606,1535.047
2026-04-18 19:58:00.172,3.217,28.185,4.244,32.451,1020.596,1535.277
2026-04-18 19:58:01.168,3.215,28.171,4.242,32.408,1020.528,1535.212
2026-04-18 19:58:02.168,3.153,28.17,4.248,32.438,1020.602,1535.148
2026-04-18 19:58:03.168,3.165,28.194,4.239,32.431,1020.57,1535.283
2026-04-18 19:58:04.168,3.121,28.172,4.241,32.387,1020.538,1535.027
2026-04-18 19:58:05.173,3.115,28.215,4.239,32.375,1020.491,1535.123
2026-04-18 19:58:06.172,3.102,28.233,4.24,32.37,1020.491,1535.211
2026-04-18 19:58:07.171,3.086,28.189,4.246,32.384,1020.515,1535.063
2026-04-18 19:58:08.172,3.045,28.221,4.252,32.381,1020.53,1535.231
2026-04-18 19:58:09.169,3.044,28.24,4.248,32.374,1020.494,1535.308
2026-04-18 19:58:10.171,2.991,28.231,4.245,32.352,1020.461,1535.202
2026-04-18 19:58:11.171,2.961,28.261,4.259,32.34,1020.471,1535.313
2026-04-18 19:58:12.172,2.932,28.243,4.242,32.339,1020.453,1535.134
2026-04-18 19:58:13.171,2.931,28.289,4.253,32.303,1020.451,1535.215
2026-04-18 19:58:14.171,2.822,28.295,4.241,32.324,1020.425,1535.387
2026-04-18 19:58:15.171,2.757,28.286,4.257,32.296,1020.429,1535.34
2026-04-18 19:58:16.171,2.701,28.33,4.248,32.298,1020.38,1535.451
2026-04-18 19:58:17.171,2.589,28.339,4.252,32.261,1020.358,1535.364
2026-04-18 19:58:18.171,2.464,28.367,4.241,32.27,1020.34,1535.346
