timestamp,depth,water_temp,quality_flag
2026-04-18 19:30:21.362,12.396,28.043,1.0
2026-04-18 19:30:22.367,12.61,28.023,1.0
2026-04-18 19:30:23.367,12.709,28.044,1.0
2026-04-18 19:30:24.367,12.828,28.069,1.0
2026-04-18 19:30:25.368,12.965,28.066,1.0
2026-04-18 19:30:26.368,13.123,28.089,1.0
2026-04-18 19:30:27.366,13.136,28.084,1.0
2026-04-18 19:30:28.367,13.265,28.102,1.0
2026-04-18 19:30:29.367,13.383,28.098,1.0
2026-04-18 19:30:30.367,13.395,28.099,1.0
2026-04-18 19:30:31.367,13.402,28.1,1.0
2026-04-18 19:30:32.366,13.439,28.126,1.0
2026-04-18 19:30:33.366,13.466,28.133,1.0
2026-04-18 19:30:34.367,13.474,28.145,1.0
2026-04-18 19:30:35.367,13.516,28.166,1.0
2026-04-18 19:30:36.363,13.49,28.173,1.0
2026-04-18 19:30:37.368,13.402,28.143,1.0
2026-04-18 19:30:38.366,13.399,28.166,1.0
2026-04-18 19:30:39.366,13.295,28.177,1.0
2026-04-18 19:30:40.366,13.212,28.187,1.0
2026-04-18 19:30:41.367,13.104,28.2,1.0
2026-04-18 19:30:42.366,13.061,28.184,1.0
2026-04-18 19:30:43.365,12.944,28.218,1.0
2026-04-18 19:30:44.367,12.748,28.209,1.0
2026-04-18 19:30:45.366,12.602,28.226,1.0
2026-04-18 19:30:46.364,12.463,28.204,1.0
2026-04-18 19:30:47.367,12.393,28.235,1.0
2026-04-18 19:30:48.366,12.247,28.255,1.0
2026-04-18 19:30:49.365,12.109,28.229,1.0
2026-04-18 19:30:50.367,11.914,28.239,1.0
2026-04-18 19:30:51.367,11.779,28.26,1.0
2026-04-18 19:30:52.366,11.653,28.262,1.0
2026-04-18 19:30:53.366,11.457,28.247,1.0
2026-04-18 19:30:54.366,11.375,28.274,1.0
2026-04-18 19:30:55.366,11.237,28.26,1.0
2026-04-18 19:30:56.367,11.109,28.262,1.0
2026-04-18 19:30:57.366,10.961,28.292,1.0
2026-04-18 19:30:58.366,10.91,28.261,1.0
2026-04-18 19:30:59.366,10.769,28.28,1.0
2026-04-18 19:31:00.366,10.669,28.277,1.0
2026-04-18 19:31:01.366,10.608,28.288,1.0
2026-04-18 19:31:02.367,10.523,28.274,1.0
2026-04-18 19:31:03.366,10.558,28.3,1.0
2026-04-18 19:31:04.367,10.538,28.295,1.0
2026-04-18 19:31:05.367,10.511,28.304,1.0
2026-04-18 19:31:06.366,10.461,28.316,1.0
2026-04-18 19:31:07.367,10.51,28.31,1.0
2026-04-18 19:31:08.367,10.525,28.31,1.0
2026-04-18 19:31:09.366,10.61,28.304,1.0
2026-04-18 19:31:10.367,10.653,28.3,1.0
2026-04-18 19:31:11.366,10.733,28.299,1.0
2026-04-18 19:31:12.366,10.795,28.288,1.0
2026-04-18 19:31:13.367,10.92,28.308,1.0
2026-04-18 19:31:14.366,11.09,28.293,1.0
2026-04-18 19:31:15.366,11.197,28.3,1.0
2026-04-18 19:31:16.367,11.324,28.308,1.0
2026-04-18 19:31:17.367,11.397,28.302,1.0
2026-04-18 19:31:18.367,11.621,28.278,1.0
2026-04-18 19:31:19.366,11.767,28.272,1.0
2026-04-18 19:31:20.367,11.916,28.294,1.0
2026-04-18 19:31:21.367,11.978,28.267,1.0
2026-04-18 19:31:22.367,12.177,28.264,1.0
2026-04-18 19:31:23.367,12.333,28.273,1.0
2026-04-18 19:31:24.366,12.437,28.281,1.0
2026-04-18 19:31:25.367,12.596,28.256,1.0
2026-04-18 19:31:26.366,12.698,28.265,1.0
2026-04-18 19:31:27.366,12.849,28.261,1.0
2026-04-18 19:31:28.367,13.0,28.245,1.0
2026-04-18 19:31:29.367,13.135,28.271,1.0
2026-04-18 19:31:30.367,13.237,28.254,1.0
2026-04-18 19:31:31.367,13.32,28.243,1.0
2026-04-18 19:31:32.367,13.383,28.257,1.0
2026-04-18 19:31:33.369,13.39,28.243,1.0
2026-04-18 19:31:34.369,13.432,28.222,1.0
2026-04-18 19:31:35.367,13.473,28.234,1.0
2026-04-18 19:31:36.368,13.455,28.217,1.0
2026-04-18 19:31:37.364,13.522,28.205,1.0
2026-04-18 19:31:38.363,13.5,28.222,1.0
2026-04-18 19:31:39.367,13.489,28.186,1.0
2026-04-18 19:31:40.363,13.389,28.197,1.0
2026-04-18 19:31:41.368,13.382,28.192,1.0
2026-04-18 19:31:42.363,13.288,28.18,1.0
2026-04-18 19:31:43.363,13.212,28.173,1.0
2026-04-18 19:31:44.368,13.094,28.159,1.0
2026-04-18 19:31:45.366,13.042,28.138,1.0
2026-04-18 19:31:46.364,12.877,28.163,1.0
2026-04-18 19:31:47.363,12.779,28.139,1.0
2026-04-18 19:31:48.368,12.635,28.128,1.0
2026-04-18 19:31:49.367,12.498,28.138,1.0
2026-04-18 19:31:50.364,12.345,28.124,1.0
2026-04-18 19:31:51.368,12.234,28.112,1.0
2026-04-18 19:31:52.366,12.052,28.104,1.0
2026-04-18 19:31:53.367,11.917,28.092,1.0
2026-04-18 19:31:54.367,11.7,28.084,1.0
2026-04-18 19:31:55.367,11.621,28.077,1.0
2026-04-18 19:31:56.367,11.417,28.075,1.0
2026-04-18 19:31:57.367,11.28,28.038,1.0
