timestamp,depth,temp,cond,salinity,density,soundvel
2026-04-18 20:27:15.626,2.685,28.125,4.204,32.486,1020.578,1534.933
2026-04-18 20:27:16.627,2.861,28.079,4.205,32.496,1020.613,1534.863
2026-04-18 20:27:17.627,2.955,28.109,4.222,32.482,1020.637,1534.999
2026-04-18 20:27:18.627,3.096,28.115,4.222,32.472,1020.617,1534.951
2026-04-18 20:27:19.630,3.215,28.063,4.225,32.467,1020.638,1534.923
2026-04-18 20:27:20.626,3.275,28.081,4.228,32.474,1020.652,1535.023
2026-04-18 20:27:21.630,3.342,28.076,4.22,32.475,1020.653,1535.084
2026-04-18 20:27:22.625,3.359,28.093,4.229,32.474,1020.603,1535.108
2026-04-18 20:27:23.626,3.422,28.092,4.219,32.454,1020.598,1535.024
2026-04-18 20:27:24.625,3.41,28.077,4.227,32.453,1020.617,1534.909
2026-04-18 20:27:25.628,3.401,28.105,4.226,32.456,1020.623,1535.09
2026-04-18 20:27:26.625,3.42,28.071,4.226,32.47,1020.611,1535.075
2026-04-18 20:27:27.625,3.347,28.119,4.229,32.465,1020.631,1535.143
2026-04-18 20:27:28.625,3.341,28.136,4.238,32.434,1020.615,1535.138
2026-04-18 20:27:29.625,3.319,28.14,4.235,32.444,1020.62,1535.146
2026-04-18 20:27:30.625,3.286,28.112,4.229,32.455,1020.617,1534.999
2026-04-18 20:27:31.626,3.226,28.176,4.247,32.416,1020.577,1535.075
2026-04-18 20:27:32.626,3.226,28.191,4.24,32.413,1020.553,1535.309
2026-04-18 20:27:33.625,3.188,28.15,4.239,32.399,1020.561,1534.979
2026-04-18 20:27:34.626,3.158,28.161,4.236,32.422,1020.535,1535.076
2026-04-18 20:27:35.626,3.098,28.222,4.254,32.391,1020.542,1535.201
2026-04-18 20:27:36.628,3.077,28.19,4.239,32.388,1020.53,1535.209
2026-04-18 20:27:37.628,3.102,28.214,4.24,32.395,1020.526,1535.329
2026-04-18 20:27:38.628,3.076,28.208,4.238,32.372,1020.487,1535.251
2026-04-18 20:27:39.628,3.066,28.209,4.247,32.355,1020.511,1535.153
2026-04-18 20:27:40.625,3.041,28.231,4.246,32.35,1020.465,1535.29
2026-04-18 20:27:41.628,3.009,28.222,4.258,32.33,1020.457,1535.1
2026-04-18 20:27:42.628,2.964,28.227,4.247,32.335,1020.46,1535.128
