[System]
Platform=SEANO USV
Start_Time=2026-04-18 20:27:13
Timezone=WIB

[Sensor]
Name=SBES

[Columns]
Timestamp(WIB)	Depth	WaterTemp	QualityFlag

[Data]
2026-04-18 20:27:15.602	12.6	28.019	1.0
2026-04-18 20:27:16.604	12.707	28.044	1.0
2026-04-18 20:27:17.604	12.802	28.041	1.0
2026-04-18 20:27:18.603	12.919	28.06	1.0
2026-04-18 20:27:19.602	13.047	28.072	1.0
2026-04-18 20:27:20.607	13.153	28.093	1.0
2026-04-18 20:27:21.604	13.273	28.092	1.0
2026-04-18 20:27:22.600	13.369	28.102	1.0
2026-04-18 20:27:23.600	13.404	28.116	1.0
2026-04-18 20:27:24.601	13.471	28.109	1.0
2026-04-18 20:27:25.605	13.494	28.136	1.0
2026-04-18 20:27:26.602	13.477	28.112	1.0
2026-04-18 20:27:27.600	13.507	28.136	1.0
2026-04-18 20:27:28.600	13.527	28.148	1.0
2026-04-18 20:27:29.600	13.45	28.158	1.0
2026-04-18 20:27:30.600	13.46	28.152	1.0
2026-04-18 20:27:31.602	13.327	28.159	1.0
2026-04-18 20:27:32.600	13.255	28.181	1.0
2026-04-18 20:27:33.600	13.205	28.182	1.0
2026-04-18 20:27:34.602	13.082	28.196	1.0
2026-04-18 20:27:35.604	13.0	28.196	1.0
2026-04-18 20:27:36.604	12.94	28.195	1.0
2026-04-18 20:27:37.605	12.776	28.204	1.0
2026-04-18 20:27:38.604	12.593	28.217	1.0
2026-04-18 20:27:39.603	12.485	28.217	1.0
2026-04-18 20:27:40.600	12.348	28.238	1.0
2026-04-18 20:27:41.605	12.194	28.248	1.0
2026-04-18 20:27:42.603	12.083	28.239	1.0
2026-04-18 20:27:43.605	11.916	28.245	1.0
2026-04-18 20:27:44.604	11.754	28.241	1.0
2026-04-18 20:27:45.601	11.64	28.258	1.0
2026-04-18 20:27:46.601	11.429	28.262	1.0
2026-04-18 20:27:47.600	11.33	28.28	1.0
2026-04-18 20:27:48.600	11.17	28.274	1.0
2026-04-18 20:27:49.600	11.063	28.278	1.0
2026-04-18 20:27:50.600	10.927	28.263	1.0
2026-04-18 20:27:51.601	10.907	28.276	1.0
2026-04-18 20:27:52.600	10.821	28.286	1.0
2026-04-18 20:27:53.601	10.684	28.281	1.0
2026-04-18 20:27:54.601	10.61	28.291	1.0
2026-04-18 20:27:55.601	10.605	28.3	1.0
2026-04-18 20:27:56.601	10.565	28.305	1.0
2026-04-18 20:27:57.601	10.485	28.312	1.0
2026-04-18 20:27:58.604	10.51	28.31	1.0
2026-04-18 20:27:59.604	10.516	28.315	1.0
2026-04-18 20:28:00.604	10.48	28.281	1.0
2026-04-18 20:28:01.601	10.528	28.315	1.0
2026-04-18 20:28:02.605	10.609	28.319	1.0
2026-04-18 20:28:03.604	10.649	28.3	1.0
2026-04-18 20:28:04.604	10.754	28.3	1.0
2026-04-18 20:28:05.604	10.874	28.297	1.0
2026-04-18 20:28:06.601	10.956	28.315	1.0
2026-04-18 20:28:07.601	11.074	28.304	1.0
2026-04-18 20:28:08.604	11.223	28.31	1.0
2026-04-18 20:28:09.604	11.306	28.281	1.0
2026-04-18 20:28:10.605	11.416	28.294	1.0
2026-04-18 20:28:11.604	11.568	28.312	1.0
2026-04-18 20:28:12.600	11.685	28.294	1.0
2026-04-18 20:28:13.604	11.881	28.297	1.0
2026-04-18 20:28:14.604	12.073	28.294	1.0
2026-04-18 20:28:15.604	12.176	28.292	1.0
2026-04-18 20:28:16.604	12.281	28.273	1.0
2026-04-18 20:28:17.604	12.471	28.288	1.0
2026-04-18 20:28:18.604	12.561	28.276	1.0
2026-04-18 20:28:19.604	12.697	28.255	1.0
2026-04-18 20:28:20.603	12.831	28.248	1.0
2026-04-18 20:28:21.605	12.969	28.249	1.0
2026-04-18 20:28:22.604	13.082	28.248	1.0
2026-04-18 20:28:23.603	13.164	28.235	1.0
2026-04-18 20:28:24.604	13.264	28.233	1.0
2026-04-18 20:28:25.603	13.393	28.253	1.0
2026-04-18 20:28:26.603	13.385	28.215	1.0
2026-04-18 20:28:27.604	13.488	28.241	1.0
2026-04-18 20:28:28.603	13.491	28.208	1.0
2026-04-18 20:28:29.605	13.545	28.219	1.0
2026-04-18 20:28:30.604	13.542	28.211	1.0
2026-04-18 20:28:31.604	13.484	28.184	1.0
2026-04-18 20:28:32.604	13.476	28.206	1.0
2026-04-18 20:28:33.604	13.392	28.185	1.0
2026-04-18 20:28:34.604	13.389	28.19	1.0
2026-04-18 20:28:35.604	13.32	28.17	1.0
2026-04-18 20:28:36.604	13.227	28.183	1.0
2026-04-18 20:28:37.604	13.096	28.146	1.0
2026-04-18 20:28:38.603	12.952	28.147	1.0
2026-04-18 20:28:39.602	12.89	28.145	1.0
2026-04-18 20:28:40.604	12.731	28.14	1.0
2026-04-18 20:28:41.604	12.583	28.131	1.0
2026-04-18 20:28:42.604	12.492	28.107	1.0
2026-04-18 20:28:43.604	12.294	28.097	1.0
2026-04-18 20:28:44.606	12.146	28.113	1.0
2026-04-18 20:28:45.604	12.044	28.079	1.0
2026-04-18 20:28:46.604	11.913	28.078	1.0
2026-04-18 20:28:47.603	11.69	28.064	1.0
2026-04-18 20:28:48.601	11.612	28.077	1.0
2026-04-18 20:28:49.604	11.451	28.047	1.0
2026-04-18 20:28:50.604	11.317	28.063	1.0
2026-04-18 20:28:51.604	11.161	28.023	1.0
2026-04-18 20:28:52.601	11.059	28.018	1.0
2026-04-18 20:28:53.600	10.911	28.007	1.0
2026-04-18 20:28:54.600	10.822	28.029	1.0
2026-04-18 20:28:55.601	10.719	27.988	1.0
2026-04-18 20:28:56.605	10.684	28.011	1.0
2026-04-18 20:28:57.605	10.599	28.006	1.0
2026-04-18 20:28:58.604	10.612	27.995	1.0
2026-04-18 20:28:59.604	10.483	27.96	1.0
2026-04-18 20:29:00.604	10.473	27.979	1.0
2026-04-18 20:29:01.605	10.504	27.965	1.0
2026-04-18 20:29:02.604	10.514	27.926	1.0
2026-04-18 20:29:03.605	10.516	27.947	1.0
2026-04-18 20:29:04.604	10.593	27.928	1.0
2026-04-18 20:29:05.605	10.584	27.909	1.0
2026-04-18 20:29:06.604	10.682	27.905	1.0
2026-04-18 20:29:07.604	10.743	27.9	1.0
2026-04-18 20:29:08.604	10.87	27.898	1.0
2026-04-18 20:29:09.604	10.922	27.899	1.0
2026-04-18 20:29:10.603	11.12	27.859	1.0
2026-04-18 20:29:11.604	11.146	27.851	1.0
2026-04-18 20:29:12.604	11.323	27.871	1.0
2026-04-18 20:29:13.600	11.451	27.833	1.0
2026-04-18 20:29:14.604	11.632	27.839	1.0
2026-04-18 20:29:15.605	11.743	27.856	1.0
2026-04-18 20:29:16.604	11.923	27.817	1.0
2026-04-18 20:29:17.604	12.033	27.827	1.0
2026-04-18 20:29:18.604	12.246	27.807	1.0
2026-04-18 20:29:19.603	12.36	27.808	1.0
2026-04-18 20:29:20.604	12.492	27.804	1.0
2026-04-18 20:29:21.604	12.602	27.794	1.0
2026-04-18 20:29:22.604	12.783	27.797	1.0
2026-04-18 20:29:23.604	12.888	27.787	1.0
2026-04-18 20:29:24.604	12.979	27.79	1.0
2026-04-18 20:29:25.604	13.073	27.757	1.0
2026-04-18 20:29:26.604	13.239	27.752	1.0
2026-04-18 20:29:27.604	13.312	27.759	1.0
2026-04-18 20:29:28.603	13.343	27.752	1.0
2026-04-18 20:29:29.604	13.418	27.729	1.0
2026-04-18 20:29:30.605	13.44	27.73	1.0
2026-04-18 20:29:31.604	13.453	27.735	1.0
2026-04-18 20:29:32.601	13.47	27.733	1.0
2026-04-18 20:29:33.606	13.47	27.737	1.0
2026-04-18 20:29:34.605	13.445	27.73	1.0
2026-04-18 20:29:35.604	13.497	27.74	1.0
2026-04-18 20:29:36.605	13.388	27.732	1.0
2026-04-18 20:29:37.605	13.304	27.722	1.0
2026-04-18 20:29:38.603	13.247	27.718	1.0
2026-04-18 20:29:39.604	13.159	27.728	1.0
2026-04-18 20:29:40.604	13.089	27.691	1.0
2026-04-18 20:29:41.604	12.946	27.704	1.0
2026-04-18 20:29:42.604	12.861	27.694	1.0
2026-04-18 20:29:43.601	12.776	27.702	1.0
2026-04-18 20:29:44.606	12.618	27.712	1.0
2026-04-18 20:29:45.604	12.417	27.716	1.0
2026-04-18 20:29:46.604	12.354	27.685	1.0
2026-04-18 20:29:47.604	12.208	27.689	1.0
2026-04-18 20:29:48.604	12.05	27.707	1.0
2026-04-18 20:29:49.601	11.876	27.693	1.0
2026-04-18 20:29:50.604	11.699	27.688	1.0
2026-04-18 20:29:51.604	11.609	27.713	1.0
2026-04-18 20:29:52.604	11.434	27.697	1.0
2026-04-18 20:29:53.604	11.286	27.696	1.0
2026-04-18 20:29:54.604	11.18	27.691	1.0
2026-04-18 20:29:55.604	11.049	27.726	1.0
2026-04-18 20:29:56.604	10.916	27.705	1.0
2026-04-18 20:29:57.604	10.809	27.721	1.0
2026-04-18 20:29:58.604	10.791	27.717	1.0
2026-04-18 20:29:59.604	10.718	27.73	1.0
2026-04-18 20:30:00.604	10.63	27.713	1.0
2026-04-18 20:30:01.604	10.581	27.715	1.0
2026-04-18 20:30:02.604	10.559	27.721	1.0
2026-04-18 20:30:03.606	10.467	27.716	1.0
2026-04-18 20:30:04.604	10.489	27.727	1.0
2026-04-18 20:30:05.604	10.488	27.721	1.0
2026-04-18 20:30:06.605	10.528	27.73	1.0
2026-04-18 20:30:07.604	10.59	27.761	1.0
2026-04-18 20:30:08.604	10.61	27.756	1.0
2026-04-18 20:30:09.604	10.72	27.775	1.0
2026-04-18 20:30:10.604	10.787	27.767	1.0
2026-04-18 20:30:11.604	10.894	27.762	1.0
2026-04-18 20:30:12.604	10.986	27.757	1.0
2026-04-18 20:30:13.603	11.061	27.773	1.0
2026-04-18 20:30:14.604	11.253	27.799	1.0
2026-04-18 20:30:15.604	11.371	27.773	1.0
2026-04-18 20:30:16.604	11.482	27.814	1.0
2026-04-18 20:30:17.604	11.635	27.801	1.0
2026-04-18 20:30:18.604	11.758	27.815	1.0
2026-04-18 20:30:19.605	11.879	27.836	1.0
2026-04-18 20:30:20.604	12.064	27.819	1.0
2026-04-18 20:30:21.604	12.226	27.818	1.0
2026-04-18 20:30:22.604	12.381	27.86	1.0
2026-04-18 20:30:23.606	12.547	27.85	1.0
2026-04-18 20:30:24.603	12.634	27.865	1.0
2026-04-18 20:30:25.604	12.817	27.855	1.0
2026-04-18 20:30:26.604	12.951	27.878	1.0
2026-04-18 20:30:27.604	12.975	27.884	1.0
2026-04-18 20:30:28.604	13.14	27.88	1.0
2026-04-18 20:30:29.604	13.185	27.879	1.0
2026-04-18 20:30:30.604	13.342	27.917	1.0
2026-04-18 20:30:31.604	13.339	27.896	1.0
2026-04-18 20:30:32.604	13.38	27.916	1.0
2026-04-18 20:30:33.601	13.416	27.921	1.0
2026-04-18 20:30:34.604	13.453	27.934	1.0
2026-04-18 20:30:35.604	13.51	27.933	1.0
2026-04-18 20:30:36.604	13.446	27.98	1.0
2026-04-18 20:30:37.605	13.505	27.975	1.0
2026-04-18 20:30:38.603	13.49	27.998	1.0
2026-04-18 20:30:39.604	13.391	27.986	1.0
2026-04-18 20:30:40.604	13.328	27.989	1.0
2026-04-18 20:30:41.604	13.213	27.986	1.0
2026-04-18 20:30:42.605	13.206	28.005	1.0
2026-04-18 20:30:43.604	13.077	28.031	1.0
2026-04-18 20:30:44.604	12.988	28.046	1.0
2026-04-18 20:30:45.604	12.859	28.06	1.0
2026-04-18 20:30:46.604	12.72	28.033	1.0
2026-04-18 20:30:47.604	12.6	28.05	1.0
2026-04-18 20:30:48.605	12.406	28.055	1.0
2026-04-18 20:30:49.604	12.317	28.09	1.0
2026-04-18 20:30:50.605	12.096	28.071	1.0
2026-04-18 20:30:51.604	12.019	28.074	1.0
2026-04-18 20:30:52.605	11.821	28.114	1.0
2026-04-18 20:30:53.604	11.736	28.103	1.0
2026-04-18 20:30:54.603	11.568	28.115	1.0
2026-04-18 20:30:55.604	11.412	28.118	1.0
2026-04-18 20:30:56.605	11.236	28.149	1.0
2026-04-18 20:30:57.604	11.098	28.131	1.0
2026-04-18 20:30:58.604	11.057	28.163	1.0
2026-04-18 20:30:59.605	10.922	28.155	1.0
2026-04-18 20:31:00.604	10.793	28.185	1.0
2026-04-18 20:31:01.604	10.706	28.177	1.0
2026-04-18 20:31:02.604	10.675	28.193	1.0
2026-04-18 20:31:03.604	10.57	28.191	1.0
2026-04-18 20:31:04.604	10.588	28.203	1.0
2026-04-18 20:31:05.605	10.564	28.183	1.0
2026-04-18 20:31:06.604	10.515	28.209	1.0
2026-04-18 20:31:07.604	10.516	28.234	1.0
2026-04-18 20:31:08.604	10.475	28.219	1.0
2026-04-18 20:31:09.604	10.569	28.225	1.0
2026-04-18 20:31:10.604	10.591	28.228	1.0
2026-04-18 20:31:11.600	10.613	28.232	1.0
2026-04-18 20:31:12.604	10.738	28.246	1.0
2026-04-18 20:31:13.605	10.84	28.268	1.0
2026-04-18 20:31:14.604	10.884	28.269	1.0
2026-04-18 20:31:15.604	10.999	28.258	1.0
2026-04-18 20:31:16.604	11.097	28.271	1.0
2026-04-18 20:31:17.605	11.228	28.281	1.0
2026-04-18 20:31:18.604	11.378	28.289	1.0
2026-04-18 20:31:19.604	11.483	28.284	1.0
2026-04-18 20:31:20.604	11.607	28.283	1.0
2026-04-18 20:31:21.604	11.811	28.271	1.0
2026-04-18 20:31:22.604	11.905	28.287	1.0
2026-04-18 20:31:23.605	12.088	28.276	1.0
2026-04-18 20:31:24.604	12.295	28.303	1.0
2026-04-18 20:31:25.604	12.402	28.278	1.0
2026-04-18 20:31:26.605	12.533	28.305	1.0
2026-04-18 20:31:27.605	12.632	28.286	1.0
2026-04-18 20:31:28.607	12.765	28.297	1.0
2026-04-18 20:31:29.605	12.918	28.279	1.0
2026-04-18 20:31:30.605	13.0	28.303	1.0
2026-04-18 20:31:31.604	13.169	28.28	1.0
2026-04-18 20:31:32.604	13.246	28.295	1.0
2026-04-18 20:31:33.604	13.346	28.318	1.0
2026-04-18 20:31:34.605	13.382	28.303	1.0
2026-04-18 20:31:35.605	13.397	28.313	1.0
2026-04-18 20:31:36.606	13.51	28.293	1.0
2026-04-18 20:31:37.604	13.478	28.305	1.0
2026-04-18 20:31:38.604	13.516	28.299	1.0
2026-04-18 20:31:39.605	13.534	28.278	1.0
2026-04-18 20:31:40.604	13.512	28.299	1.0
2026-04-18 20:31:41.604	13.474	28.311	1.0
2026-04-18 20:31:42.601	13.43	28.301	1.0
2026-04-18 20:31:43.605	13.359	28.287	1.0
2026-04-18 20:31:44.605	13.243	28.265	1.0
2026-04-18 20:31:45.605	13.126	28.261	1.0
2026-04-18 20:31:46.600	13.033	28.264	1.0
